{'loss': 0.2722, 'grad_norm': 1.5728732347488403, 'learning_rate': 4.962802446355763e-05, 'epoch': 0.07}
{'loss': 0.2659, 'grad_norm': 1.1921383142471313, 'learning_rate': 4.9624304336180475e-05, 'epoch': 0.08}
{'loss': 0.2656, 'grad_norm': 1.1429824829101562, 'learning_rate': 4.962058420880331e-05, 'epoch': 0.08}
{'loss': 0.2712, 'grad_norm': 1.5854133367538452, 'learning_rate': 4.961686408142615e-05, 'epoch': 0.08}
{'loss': 0.2716, 'grad_norm': 1.1080796718597412, 'learning_rate': 4.961314395404899e-05, 'epoch': 0.08}
{'loss': 0.2684, 'grad_norm': 1.2952901124954224, 'learning_rate': 4.960942382667183e-05, 'epoch': 0.08}
{'loss': 0.2691, 'grad_norm': 1.3409353494644165, 'learning_rate': 4.960570369929467e-05, 'epoch': 0.08}
{'loss': 0.2712, 'grad_norm': 1.4655687808990479, 'learning_rate': 4.9601983571917504e-05, 'epoch': 0.08}
{'loss': 0.275, 'grad_norm': 1.4573115110397339, 'learning_rate': 4.959826344454034e-05, 'epoch': 0.08}
{'loss': 0.2703, 'grad_norm': 1.5300581455230713, 'learning_rate': 4.9594543317163185e-05, 'epoch': 0.08}
{'loss': 0.269, 'grad_norm': 1.4167569875717163, 'learning_rate': 4.959082318978602e-05, 'epoch': 0.08}
{'loss': 0.2631, 'grad_norm': 1.6727575063705444, 'learning_rate': 4.958710306240886e-05, 'epoch': 0.08}
{'loss': 0.2663, 'grad_norm': 1.4097520112991333, 'learning_rate': 4.9583382935031696e-05, 'epoch': 0.08}
{'loss': 0.2635, 'grad_norm': 1.3353220224380493, 'learning_rate': 4.957966280765454e-05, 'epoch': 0.08}
{'loss': 0.2618, 'grad_norm': 1.3600280284881592, 'learning_rate': 4.957594268027738e-05, 'epoch': 0.08}
{'loss': 0.2699, 'grad_norm': 1.2076934576034546, 'learning_rate': 4.9572222552900214e-05, 'epoch': 0.09}
{'loss': 0.2695, 'grad_norm': 1.3205591440200806, 'learning_rate': 4.956850242552305e-05, 'epoch': 0.09}
{'loss': 0.2594, 'grad_norm': 1.334524393081665, 'learning_rate': 4.956478229814589e-05, 'epoch': 0.09}
{'loss': 0.2605, 'grad_norm': 0.9843189716339111, 'learning_rate': 4.956106217076873e-05, 'epoch': 0.09}
{'loss': 0.2589, 'grad_norm': 1.5291781425476074, 'learning_rate': 4.955734204339157e-05, 'epoch': 0.09}
{'loss': 0.2693, 'grad_norm': 1.1195451021194458, 'learning_rate': 4.9553621916014406e-05, 'epoch': 0.09}
{'loss': 0.2739, 'grad_norm': 1.342279314994812, 'learning_rate': 4.954990178863724e-05, 'epoch': 0.09}
{'loss': 0.2668, 'grad_norm': 1.406480312347412, 'learning_rate': 4.954618166126008e-05, 'epoch': 0.09}
{'loss': 0.2685, 'grad_norm': 1.5487228631973267, 'learning_rate': 4.9542461533882924e-05, 'epoch': 0.09}
{'loss': 0.2578, 'grad_norm': 1.378251314163208, 'learning_rate': 4.953874140650576e-05, 'epoch': 0.09}
{'loss': 0.2576, 'grad_norm': 1.4905222654342651, 'learning_rate': 4.9535021279128605e-05, 'epoch': 0.09}
{'loss': 0.2586, 'grad_norm': 1.5161348581314087, 'learning_rate': 4.9531301151751435e-05, 'epoch': 0.09}
{'loss': 0.2565, 'grad_norm': 1.2756489515304565, 'learning_rate': 4.952758102437427e-05, 'epoch': 0.09}
{'loss': 0.2675, 'grad_norm': 1.0851943492889404, 'learning_rate': 4.9523860896997116e-05, 'epoch': 0.1}
{'loss': 0.2661, 'grad_norm': 1.282440185546875, 'learning_rate': 4.952014076961995e-05, 'epoch': 0.1}
{'loss': 0.2513, 'grad_norm': 1.0316410064697266, 'learning_rate': 4.95164206422428e-05, 'epoch': 0.1}
{'loss': 0.2649, 'grad_norm': 1.4223496913909912, 'learning_rate': 4.951270051486563e-05, 'epoch': 0.1}
{'loss': 0.2595, 'grad_norm': 1.3505686521530151, 'learning_rate': 4.950898038748847e-05, 'epoch': 0.1}
{'loss': 0.256, 'grad_norm': 1.4475575685501099, 'learning_rate': 4.950526026011131e-05, 'epoch': 0.1}
{'loss': 0.2625, 'grad_norm': 1.2248961925506592, 'learning_rate': 4.9501540132734145e-05, 'epoch': 0.1}
{'loss': 0.2626, 'grad_norm': 1.3160725831985474, 'learning_rate': 4.949782000535699e-05, 'epoch': 0.1}
{'loss': 0.2578, 'grad_norm': 1.2931851148605347, 'learning_rate': 4.9494099877979826e-05, 'epoch': 0.1}
{'loss': 0.2728, 'grad_norm': 1.3919864892959595, 'learning_rate': 4.949037975060266e-05, 'epoch': 0.1}
{'loss': 0.2588, 'grad_norm': 1.2637381553649902, 'learning_rate': 4.94866596232255e-05, 'epoch': 0.1}
{'loss': 0.2678, 'grad_norm': 1.6108869314193726, 'learning_rate': 4.948293949584834e-05, 'epoch': 0.1}
{'loss': 0.2607, 'grad_norm': 1.2829184532165527, 'learning_rate': 4.947921936847118e-05, 'epoch': 0.1}
{'loss': 0.249, 'grad_norm': 1.4547795057296753, 'learning_rate': 4.947549924109402e-05, 'epoch': 0.1}
{'loss': 0.2506, 'grad_norm': 1.2890931367874146, 'learning_rate': 4.9471779113716855e-05, 'epoch': 0.11}
{'loss': 0.2592, 'grad_norm': 1.2096840143203735, 'learning_rate': 4.946805898633969e-05, 'epoch': 0.11}
{'loss': 0.265, 'grad_norm': 1.4597187042236328, 'learning_rate': 4.9464338858962536e-05, 'epoch': 0.11}
{'loss': 0.2451, 'grad_norm': 1.2747135162353516, 'learning_rate': 4.946061873158537e-05, 'epoch': 0.11}
{'loss': 0.2528, 'grad_norm': 1.2855424880981445, 'learning_rate': 4.945689860420821e-05, 'epoch': 0.11}
{'loss': 0.2626, 'grad_norm': 1.3517407178878784, 'learning_rate': 4.945317847683105e-05, 'epoch': 0.11}
{'loss': 0.245, 'grad_norm': 1.2498517036437988, 'learning_rate': 4.9449458349453885e-05, 'epoch': 0.11}
{'loss': 0.2514, 'grad_norm': 1.1845375299453735, 'learning_rate': 4.944573822207673e-05, 'epoch': 0.11}
{'loss': 0.2632, 'grad_norm': 1.3669378757476807, 'learning_rate': 4.9442018094699565e-05, 'epoch': 0.11}
{'loss': 0.2571, 'grad_norm': 1.434802770614624, 'learning_rate': 4.94382979673224e-05, 'epoch': 0.11}
{'loss': 0.2492, 'grad_norm': 1.0853424072265625, 'learning_rate': 4.943457783994524e-05, 'epoch': 0.11}
{'loss': 0.2542, 'grad_norm': 1.1513099670410156, 'learning_rate': 4.943085771256808e-05, 'epoch': 0.11}
{'loss': 0.2624, 'grad_norm': 1.3336138725280762, 'learning_rate': 4.942713758519092e-05, 'epoch': 0.11}
{'loss': 0.2542, 'grad_norm': 1.5048248767852783, 'learning_rate': 4.942341745781376e-05, 'epoch': 0.12}
{'loss': 0.2471, 'grad_norm': 1.3383309841156006, 'learning_rate': 4.94196973304366e-05, 'epoch': 0.12}
{'loss': 0.2674, 'grad_norm': 1.3080118894577026, 'learning_rate': 4.941597720305943e-05, 'epoch': 0.12}
{'loss': 0.2542, 'grad_norm': 1.0042086839675903, 'learning_rate': 4.9412257075682276e-05, 'epoch': 0.12}
{'loss': 0.2512, 'grad_norm': 1.2858350276947021, 'learning_rate': 4.940853694830511e-05, 'epoch': 0.12}
{'loss': 0.2547, 'grad_norm': 1.4604651927947998, 'learning_rate': 4.940481682092795e-05, 'epoch': 0.12}
{'loss': 0.2539, 'grad_norm': 1.295847773551941, 'learning_rate': 4.9401096693550793e-05, 'epoch': 0.12}
{'loss': 0.2544, 'grad_norm': 1.198136568069458, 'learning_rate': 4.9397376566173624e-05, 'epoch': 0.12}
{'loss': 0.2534, 'grad_norm': 1.4323586225509644, 'learning_rate': 4.939365643879647e-05, 'epoch': 0.12}
{'loss': 0.2522, 'grad_norm': 1.081196665763855, 'learning_rate': 4.9389936311419305e-05, 'epoch': 0.12}
{'loss': 0.2533, 'grad_norm': 1.4191590547561646, 'learning_rate': 4.938621618404214e-05, 'epoch': 0.12}
{'loss': 0.252, 'grad_norm': 1.413700819015503, 'learning_rate': 4.9382496056664986e-05, 'epoch': 0.12}
{'loss': 0.2555, 'grad_norm': 1.5668846368789673, 'learning_rate': 4.937877592928782e-05, 'epoch': 0.12}
{'loss': 0.2492, 'grad_norm': 1.5075762271881104, 'learning_rate': 4.937505580191066e-05, 'epoch': 0.12}
{'loss': 0.2443, 'grad_norm': 1.254583477973938, 'learning_rate': 4.93713356745335e-05, 'epoch': 0.13}
{'loss': 0.257, 'grad_norm': 1.2999080419540405, 'learning_rate': 4.936761554715634e-05, 'epoch': 0.13}
{'loss': 0.2561, 'grad_norm': 1.4534932374954224, 'learning_rate': 4.936389541977918e-05, 'epoch': 0.13}
{'loss': 0.2504, 'grad_norm': 1.4404826164245605, 'learning_rate': 4.9360175292402015e-05, 'epoch': 0.13}
{'loss': 0.2651, 'grad_norm': 1.7243878841400146, 'learning_rate': 4.935645516502485e-05, 'epoch': 0.13}
{'loss': 0.2521, 'grad_norm': 1.2839463949203491, 'learning_rate': 4.935273503764769e-05, 'epoch': 0.13}
{'loss': 0.2497, 'grad_norm': 1.382656216621399, 'learning_rate': 4.934901491027053e-05, 'epoch': 0.13}
{'loss': 0.2503, 'grad_norm': 1.052290916442871, 'learning_rate': 4.934529478289337e-05, 'epoch': 0.13}
{'loss': 0.2413, 'grad_norm': 1.1433372497558594, 'learning_rate': 4.934157465551621e-05, 'epoch': 0.13}
{'loss': 0.2546, 'grad_norm': 1.3662073612213135, 'learning_rate': 4.9337854528139044e-05, 'epoch': 0.13}
{'loss': 0.2485, 'grad_norm': 1.2979251146316528, 'learning_rate': 4.933413440076188e-05, 'epoch': 0.13}
{'loss': 0.2579, 'grad_norm': 1.1055402755737305, 'learning_rate': 4.9330414273384725e-05, 'epoch': 0.13}
{'loss': 0.2507, 'grad_norm': 1.0261869430541992, 'learning_rate': 4.932669414600756e-05, 'epoch': 0.13}
{'loss': 0.2561, 'grad_norm': 1.2900631427764893, 'learning_rate': 4.93229740186304e-05, 'epoch': 0.14}
{'loss': 0.2459, 'grad_norm': 1.2024221420288086, 'learning_rate': 4.9319253891253236e-05, 'epoch': 0.14}
{'loss': 0.2564, 'grad_norm': 1.3410946130752563, 'learning_rate': 4.931553376387607e-05, 'epoch': 0.14}
{'loss': 0.2459, 'grad_norm': 1.140883207321167, 'learning_rate': 4.931181363649892e-05, 'epoch': 0.14}
{'loss': 0.2478, 'grad_norm': 1.3020750284194946, 'learning_rate': 4.9308093509121754e-05, 'epoch': 0.14}
{'loss': 0.2463, 'grad_norm': 1.2827125787734985, 'learning_rate': 4.93043733817446e-05, 'epoch': 0.14}
{'loss': 0.2352, 'grad_norm': 1.2816883325576782, 'learning_rate': 4.930065325436743e-05, 'epoch': 0.14}
{'loss': 0.2511, 'grad_norm': 1.239107370376587, 'learning_rate': 4.929693312699027e-05, 'epoch': 0.14}
{'loss': 0.2503, 'grad_norm': 1.2400068044662476, 'learning_rate': 4.929321299961311e-05, 'epoch': 0.14}
{'loss': 0.2464, 'grad_norm': 1.2091739177703857, 'learning_rate': 4.9289492872235946e-05, 'epoch': 0.14}
{'loss': 0.2379, 'grad_norm': 1.315981149673462, 'learning_rate': 4.928577274485879e-05, 'epoch': 0.14}
{'loss': 0.2443, 'grad_norm': 1.3040199279785156, 'learning_rate': 4.928205261748162e-05, 'epoch': 0.14}
