{'loss': 0.3285, 'grad_norm': 1.765191674232483, 'learning_rate': 4.935645516502485e-05, 'epoch': 0.13}
{'loss': 0.3231, 'grad_norm': 1.539765477180481, 'learning_rate': 4.935273503764769e-05, 'epoch': 0.13}
{'loss': 0.3208, 'grad_norm': 1.7376799583435059, 'learning_rate': 4.934901491027053e-05, 'epoch': 0.13}
{'loss': 0.3185, 'grad_norm': 1.2974168062210083, 'learning_rate': 4.934529478289337e-05, 'epoch': 0.13}
{'loss': 0.3164, 'grad_norm': 1.5063984394073486, 'learning_rate': 4.934157465551621e-05, 'epoch': 0.13}
{'loss': 0.3176, 'grad_norm': 1.5126240253448486, 'learning_rate': 4.9337854528139044e-05, 'epoch': 0.13}
{'loss': 0.3136, 'grad_norm': 1.3884011507034302, 'learning_rate': 4.933413440076188e-05, 'epoch': 0.13}
{'loss': 0.3205, 'grad_norm': 1.3646354675292969, 'learning_rate': 4.9330414273384725e-05, 'epoch': 0.13}
{'loss': 0.3223, 'grad_norm': 1.2823082208633423, 'learning_rate': 4.932669414600756e-05, 'epoch': 0.13}
{'loss': 0.3215, 'grad_norm': 1.587998390197754, 'learning_rate': 4.93229740186304e-05, 'epoch': 0.14}
{'loss': 0.3145, 'grad_norm': 1.395577073097229, 'learning_rate': 4.9319253891253236e-05, 'epoch': 0.14}
{'loss': 0.3204, 'grad_norm': 1.5597349405288696, 'learning_rate': 4.931553376387607e-05, 'epoch': 0.14}
{'loss': 0.3166, 'grad_norm': 1.3859926462173462, 'learning_rate': 4.931181363649892e-05, 'epoch': 0.14}
{'loss': 0.3203, 'grad_norm': 1.6154536008834839, 'learning_rate': 4.9308093509121754e-05, 'epoch': 0.14}
{'loss': 0.3168, 'grad_norm': 1.4557408094406128, 'learning_rate': 4.93043733817446e-05, 'epoch': 0.14}
{'loss': 0.3066, 'grad_norm': 1.4471814632415771, 'learning_rate': 4.930065325436743e-05, 'epoch': 0.14}
{'loss': 0.3227, 'grad_norm': 1.5828404426574707, 'learning_rate': 4.929693312699027e-05, 'epoch': 0.14}
{'loss': 0.3157, 'grad_norm': 1.3657097816467285, 'learning_rate': 4.929321299961311e-05, 'epoch': 0.14}
{'loss': 0.3202, 'grad_norm': 1.5851632356643677, 'learning_rate': 4.9289492872235946e-05, 'epoch': 0.14}
{'loss': 0.308, 'grad_norm': 1.3755990266799927, 'learning_rate': 4.928577274485879e-05, 'epoch': 0.14}
{'loss': 0.3121, 'grad_norm': 1.5490423440933228, 'learning_rate': 4.928205261748162e-05, 'epoch': 0.14}
{'loss': 0.3177, 'grad_norm': 1.4569982290267944, 'learning_rate': 4.9278332490104464e-05, 'epoch': 0.14}
{'loss': 0.3201, 'grad_norm': 1.6496556997299194, 'learning_rate': 4.92746123627273e-05, 'epoch': 0.15}
{'loss': 0.304, 'grad_norm': 1.4833136796951294, 'learning_rate': 4.927089223535014e-05, 'epoch': 0.15}
{'loss': 0.3155, 'grad_norm': 1.3292598724365234, 'learning_rate': 4.926717210797298e-05, 'epoch': 0.15}
{'loss': 0.3204, 'grad_norm': 1.276107668876648, 'learning_rate': 4.926345198059582e-05, 'epoch': 0.15}
{'loss': 0.3101, 'grad_norm': 1.463878870010376, 'learning_rate': 4.9259731853218656e-05, 'epoch': 0.15}
{'loss': 0.3169, 'grad_norm': 1.3966549634933472, 'learning_rate': 4.925601172584149e-05, 'epoch': 0.15}
{'loss': 0.3083, 'grad_norm': 1.2171554565429688, 'learning_rate': 4.925229159846434e-05, 'epoch': 0.15}
{'loss': 0.3163, 'grad_norm': 1.511374592781067, 'learning_rate': 4.9248571471087174e-05, 'epoch': 0.15}
{'loss': 0.3164, 'grad_norm': 1.5840643644332886, 'learning_rate': 4.924485134371001e-05, 'epoch': 0.15}
{'loss': 0.3143, 'grad_norm': 1.3263018131256104, 'learning_rate': 4.924113121633285e-05, 'epoch': 0.15}
{'loss': 0.3112, 'grad_norm': 1.4417861700057983, 'learning_rate': 4.9237411088955685e-05, 'epoch': 0.15}
{'loss': 0.3146, 'grad_norm': 1.4188441038131714, 'learning_rate': 4.923369096157853e-05, 'epoch': 0.15}
{'loss': 0.3095, 'grad_norm': 1.4946882724761963, 'learning_rate': 4.9229970834201366e-05, 'epoch': 0.15}
{'loss': 0.3093, 'grad_norm': 1.468808889389038, 'learning_rate': 4.92262507068242e-05, 'epoch': 0.15}
{'loss': 0.3175, 'grad_norm': 1.455657720565796, 'learning_rate': 4.922253057944704e-05, 'epoch': 0.16}
{'loss': 0.317, 'grad_norm': 1.4839202165603638, 'learning_rate': 4.921881045206988e-05, 'epoch': 0.16}
{'loss': 0.3092, 'grad_norm': 1.3863309621810913, 'learning_rate': 4.921509032469272e-05, 'epoch': 0.16}
{'loss': 0.312, 'grad_norm': 1.4345632791519165, 'learning_rate': 4.921137019731556e-05, 'epoch': 0.16}
{'loss': 0.3076, 'grad_norm': 1.3807685375213623, 'learning_rate': 4.92076500699384e-05, 'epoch': 0.16}
{'loss': 0.2989, 'grad_norm': 1.4942224025726318, 'learning_rate': 4.920392994256123e-05, 'epoch': 0.16}
{'loss': 0.3016, 'grad_norm': 1.4595204591751099, 'learning_rate': 4.920020981518407e-05, 'epoch': 0.16}
{'loss': 0.3077, 'grad_norm': 1.5563112497329712, 'learning_rate': 4.9196489687806913e-05, 'epoch': 0.16}
{'loss': 0.3108, 'grad_norm': 1.5843007564544678, 'learning_rate': 4.919276956042975e-05, 'epoch': 0.16}
{'loss': 0.3109, 'grad_norm': 1.6154563426971436, 'learning_rate': 4.9189049433052594e-05, 'epoch': 0.16}
{'loss': 0.307, 'grad_norm': 1.4990837574005127, 'learning_rate': 4.9185329305675425e-05, 'epoch': 0.16}
{'loss': 0.312, 'grad_norm': 1.2336715459823608, 'learning_rate': 4.918160917829827e-05, 'epoch': 0.16}
{'loss': 0.3025, 'grad_norm': 1.4794797897338867, 'learning_rate': 4.9177889050921106e-05, 'epoch': 0.16}
{'loss': 0.3104, 'grad_norm': 1.5132120847702026, 'learning_rate': 4.917416892354394e-05, 'epoch': 0.17}
{'loss': 0.31, 'grad_norm': 1.3564845323562622, 'learning_rate': 4.9170448796166786e-05, 'epoch': 0.17}
{'loss': 0.3049, 'grad_norm': 1.2745362520217896, 'learning_rate': 4.9166728668789624e-05, 'epoch': 0.17}
{'loss': 0.3084, 'grad_norm': 1.4645873308181763, 'learning_rate': 4.916300854141246e-05, 'epoch': 0.17}
{'loss': 0.3117, 'grad_norm': 1.5711309909820557, 'learning_rate': 4.91592884140353e-05, 'epoch': 0.17}
{'loss': 0.3084, 'grad_norm': 1.3319580554962158, 'learning_rate': 4.9155568286658135e-05, 'epoch': 0.17}
{'loss': 0.3157, 'grad_norm': 1.6045492887496948, 'learning_rate': 4.915184815928098e-05, 'epoch': 0.17}
{'loss': 0.3008, 'grad_norm': 1.1611253023147583, 'learning_rate': 4.9148128031903816e-05, 'epoch': 0.17}
